,Brand,Responders,Type,Bottled
12,Ballantine,99,Blend,Foreign
15,Black...White,81,Blend,Foreign
1,Chivas.Regal,806,Blend,Foreign
11,Clan.MacGregor,103,Blend,Domestic
8,Cutty.Sark,339,Blend,Foreign
2,Dewar.s.White.Label,517,Blend,Foreign
9,Glenfiddich,334,Single Malt,Foreign
7,Glenlivet,354,Single Malt,Foreign
17,Grants,74,Blend,Foreign
4,J...B,458,Blend,Foreign
3,Johnnie.Walker.Black.Label,502,Blend,Foreign
5,Johnnie.Walker.Red.Label,424,Blend,Foreign
20,Knockando,47,Single Malt,Foreign
13,Macallan,95,Single Malt,Foreign
6,Other.Brands,414,NA,NA
14,Passport,82,Blend,Domestic
10,Pinch..Haig.,117,Blend,Foreign
16,Scoresby.Rare,79,Blend,Domestic
21,the.Singleton,31,Single Malt,Foreign
18,Ushers,67,Blend,Foreign
19,White.Horse,62,Blend,Foreign
