"","Brand","Type","Bottled"
"1","Singleton","Single Malt","Foreign"
"2","Knockando","Single Malt","Foreign"
"3","White Horse","Blend","Foreign"
"4","Scoresby Rare","Blend","Domestic"
"5","Ushers","Blend","Foreign"
"6","Macallan","Single Malt","Foreign"
"7","Grant's","Blend","Foreign"
"8","Passport","Blend","Domestic"
"9","Black & White","Blend","Foreign"
"10","Clan MacGregor","Blend","Domestic"
"11","Ballantine","Blend","Foreign"
"12","Pinch (Haig)","Blend","Foreign"
"13","Other brands",NA,NA
"14","Cutty Sark","Blend","Foreign"
"15","Glenfiddich","Single Malt","Foreign"
"16","Glenlivet","Single Malt","Foreign"
"17","J&B","Blend","Foreign"
"18","Dewar's White Label","Blend","Foreign"
"19","Johnnie Walker Black Label","Blend","Foreign"
"20","Johnnie Walker Red Label","Blend","Foreign"
"21","Chivas Regal","Blend","Foreign"
